Item ID,Item Name,Description,Price,Category,Calories,Option 1 Name,Option 1 Additional Price,Option 2 Name,Option 2 Additional Price,Availability Status
001,Iced Matcha Latte,A hearty burger with a plant-based patty and fresh toppings,18.41,Dessert,724,Extra Cheese,1.33,,,Not Available
002,Caesar Salad,"Romaine lettuce with Caesar dressing, croutons, and parmesan",8.76,Main Course,107,,,Almond Milk,0.85,Available
003,Margherita Pizza,"Romaine lettuce with Caesar dressing, croutons, and parmesan",17.92,Appetizer,628,Chicken Strips,2.78,,,Not Available
004,Margherita Pizza,A hearty burger with a plant-based patty and fresh toppings,11.74,Dessert,429,Vanilla Ice Cream,2.24,Vanilla Ice Cream,2.64,Available
005,Chocolate Lava Cake,A hearty burger with a plant-based patty and fresh toppings,16.71,Dessert,195,,,Avocado,1.04,Not Available
006,Margherita Pizza,"Romaine lettuce with Caesar dressing, croutons, and parmesan",9.12,Dessert,523,,,Chicken Strips,1.47,Available
007,Iced Matcha Latte,A hearty burger with a plant-based patty and fresh toppings,16.44,Main Course,723,Almond Milk,1.77,Chicken Strips,0.73,Not Available
008,Chocolate Lava Cake,"Romaine lettuce with Caesar dressing, croutons, and parmesan",6.91,Appetizer,703,Chicken Strips,2.41,,,Not Available
009,Caesar Salad,Warm chocolate cake with a molten chocolate center,15.35,Main Course,437,,,Avocado,0.68,Not Available
010,Margherita Pizza,Warm chocolate cake with a molten chocolate center,16.26,Appetizer,676,Almond Milk,1.52,,,Not Available
011,Chocolate Lava Cake,"Romaine lettuce with Caesar dressing, croutons, and parmesan",12.23,Dessert,501,Avocado,2.04,Vanilla Ice Cream,2.26,Available
012,Margherita Pizza,Warm chocolate cake with a molten chocolate center,16.44,Main Course,377,Vanilla Ice Cream,0.83,,,Available
013,Veggie Burger,Creamy matcha tea blend with milk and ice,8.01,Beverage,130,,,,,Not Available
014,Veggie Burger,Creamy matcha tea blend with milk and ice,15.17,Appetizer,600,Chicken Strips,0.76,,,Available
015,Caesar Salad,Creamy matcha tea blend with milk and ice,9.3,Dessert,315,Vanilla Ice Cream,2.04,Extra Cheese,2.26,Not Available
016,Iced Matcha Latte,Creamy matcha tea blend with milk and ice,7.48,Dessert,790,Avocado,2.68,Chicken Strips,0.56,Available
017,Chocolate Lava Cake,Creamy matcha tea blend with milk and ice,15.65,Dessert,687,Vanilla Ice Cream,2.62,Extra Cheese,0.66,Available
018,Veggie Burger,"Classic pizza with fresh mozzarella, tomatoes, and basil",5.13,Beverage,290,Almond Milk,1.63,Vanilla Ice Cream,1.53,Not Available
019,Veggie Burger,"Classic pizza with fresh mozzarella, tomatoes, and basil",5.39,Main Course,429,Avocado,2.35,Vanilla Ice Cream,0.64,Not Available
020,Caesar Salad,"Classic pizza with fresh mozzarella, tomatoes, and basil",12.08,Dessert,138,,,Vanilla Ice Cream,2.76,Available
021,Iced Matcha Latte,"Classic pizza with fresh mozzarella, tomatoes, and basil",5.01,Dessert,370,,,Almond Milk,2.53,Not Available
022,Chocolate Lava Cake,Creamy matcha tea blend with milk and ice,16.58,Main Course,776,Extra Cheese,1.34,Almond Milk,0.54,Available
023,Chocolate Lava Cake,Warm chocolate cake with a molten chocolate center,14.1,Dessert,220,Chicken Strips,1.29,Extra Cheese,2.06,Not Available
024,Margherita Pizza,A hearty burger with a plant-based patty and fresh toppings,9.05,Main Course,347,Chicken Strips,1.65,,,Available
025,Iced Matcha Latte,Warm chocolate cake with a molten chocolate center,5.12,Main Course,544,Avocado,1.92,,,Not Available
026,Margherita Pizza,"Classic pizza with fresh mozzarella, tomatoes, and basil",16.8,Appetizer,671,Almond Milk,0.89,Vanilla Ice Cream,1.83,Not Available
027,Margherita Pizza,A hearty burger with a plant-based patty and fresh toppings,6.9,Beverage,145,Chicken Strips,0.69,Vanilla Ice Cream,0.81,Available
028,Margherita Pizza,"Romaine lettuce with Caesar dressing, croutons, and parmesan",7.84,Dessert,545,,,,,Available
029,Iced Matcha Latte,Warm chocolate cake with a molten chocolate center,13.42,Main Course,430,,,,,Not Available
030,Caesar Salad,A hearty burger with a plant-based patty and fresh toppings,15.44,Main Course,748,,,,,Available
031,Margherita Pizza,A hearty burger with a plant-based patty and fresh toppings,6.82,Main Course,288,,,Almond Milk,1.75,Available
032,Chocolate Lava Cake,Warm chocolate cake with a molten chocolate center,17.86,Dessert,621,,,,,Not Available
033,Iced Matcha Latte,"Romaine lettuce with Caesar dressing, croutons, and parmesan",8.02,Appetizer,295,,,Extra Cheese,2.31,Available
034,Chocolate Lava Cake,A hearty burger with a plant-based patty and fresh toppings,16.15,Main Course,395,Chicken Strips,1.54,Almond Milk,2.59,Available
035,Iced Matcha Latte,Warm chocolate cake with a molten chocolate center,13.81,Main Course,138,,,,,Not Available
036,Caesar Salad,"Romaine lettuce with Caesar dressing, croutons, and parmesan",10.1,Dessert,132,,,Vanilla Ice Cream,1.34,Not Available
037,Chocolate Lava Cake,"Romaine lettuce with Caesar dressing, croutons, and parmesan",5.34,Appetizer,208,,,,,Not Available
038,Iced Matcha Latte,"Romaine lettuce with Caesar dressing, croutons, and parmesan",13.9,Beverage,139,,,,,Not Available
039,Caesar Salad,Creamy matcha tea blend with milk and ice,9.38,Main Course,140,,,Almond Milk,0.83,Not Available
040,Chocolate Lava Cake,"Romaine lettuce with Caesar dressing, croutons, and parmesan",16.0,Beverage,446,Extra Cheese,2.31,Almond Milk,2.7,Available
041,Margherita Pizza,"Romaine lettuce with Caesar dressing, croutons, and parmesan",7.89,Dessert,154,Extra Cheese,0.65,Chicken Strips,1.73,Available
042,Margherita Pizza,Warm chocolate cake with a molten chocolate center,17.01,Beverage,670,Almond Milk,1.31,,,Not Available
043,Iced Matcha Latte,Creamy matcha tea blend with milk and ice,6.29,Main Course,170,,,,,Available
